county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","KNALL FLORIN-voturi","KNALL FLORIN-mandate-faza-1","KNALL FLORIN-mandate-faza-2","PIPERNEA GHEORGHE-voturi","PIPERNEA GHEORGHE-mandate-faza-1","PIPERNEA GHEORGHE-mandate-faza-2","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL OAMENILOR LIBERI-mandate-faza-1","PARTIDUL OAMENILOR LIBERI-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","ITIGAN MIHAI-MIRCEA-voturi","ITIGAN MIHAI-MIRCEA-mandate-faza-1","ITIGAN MIHAI-MIRCEA-mandate-faza-2","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-mandate-faza-1","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","DINCĂ TUDOR-voturi","DINCĂ TUDOR-mandate-faza-1","DINCĂ TUDOR-mandate-faza-2","ANGHEL BOGDAN-GHEORGHE-voturi","ANGHEL BOGDAN-GHEORGHE-mandate-faza-1","ANGHEL BOGDAN-GHEORGHE-mandate-faza-2","CIOCA IOAN-voturi","CIOCA IOAN-mandate-faza-1","CIOCA IOAN-mandate-faza-2","FUIOREA ROXANA-voturi","FUIOREA ROXANA-mandate-faza-1","FUIOREA ROXANA-mandate-faza-2","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-1","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-2","HOLOM DUMITRU-DORIN-voturi","HOLOM DUMITRU-DORIN-mandate-faza-1","HOLOM DUMITRU-DORIN-mandate-faza-2","STROILĂ GABRIEL-voturi","STROILĂ GABRIEL-mandate-faza-1","STROILĂ GABRIEL-mandate-faza-2","BOGDAN MIOARA-voturi","BOGDAN MIOARA-mandate-faza-1","BOGDAN MIOARA-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","ROTUNDU OVIDIU-CONSTANTIN-voturi","ROTUNDU OVIDIU-CONSTANTIN-mandate-faza-1","ROTUNDU OVIDIU-CONSTANTIN-mandate-faza-2","NEAGOE GHEORGHE-voturi","NEAGOE GHEORGHE-mandate-faza-1","NEAGOE GHEORGHE-mandate-faza-2","DĂNCĂNEŢ STELIAN-voturi","DĂNCĂNEŢ STELIAN-mandate-faza-1","DĂNCĂNEŢ STELIAN-mandate-faza-2","MEIŢESCU DANIELA-MARIA-voturi","MEIŢESCU DANIELA-MARIA-mandate-faza-1","MEIŢESCU DANIELA-MARIA-mandate-faza-2","POPESCU DAN-voturi","POPESCU DAN-mandate-faza-1","POPESCU DAN-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-mandate-g9","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-g9","NICOLAE CRISTIAN-IOAN-voturi","NICOLAE CRISTIAN-IOAN-mandate-faza-1","NICOLAE CRISTIAN-IOAN-mandate-faza-2","COSTEIU IULIAN-ALEXANDRU-voturi","COSTEIU IULIAN-ALEXANDRU-mandate-faza-1","COSTEIU IULIAN-ALEXANDRU-mandate-faza-2","GRIGORE ILIE-MARIUS-voturi","GRIGORE ILIE-MARIUS-mandate-faza-1","GRIGORE ILIE-MARIUS-mandate-faza-2"
34,SIBIU,ALMA,146012,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:51:21",1591,1528,4,21,38,1214,1152,3,21,38,1161,41,1677,475,58,81,92,105,225,2,0,95,0,1,274,2,1,482,4,0,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,ALŢINA,143888,2,FINAL,UAT,CL,CL_CE,"2024-06-13 13:40:45",1477,1405,3,40,29,929,859,1,40,29,888,41,1561,632,44,62,71,80,0,0,0,297,3,1,463,5,1,125,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,"APOLDU DE JOS",143922,2,FINAL,UAT,CL,CL_CE,"2024-06-13 14:36:27",1061,1023,6,25,7,687,655,0,25,7,671,16,1137,450,33,46,53,74,0,0,0,57,0,1,415,5,0,199,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,"ARPAŞU DE JOS",143959,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:05:09",2311,2235,7,39,30,1503,1434,0,39,30,1448,55,2467,964,72,101,115,126,0,0,0,136,1,0,581,4,1,406,3,0,0,0,0,0,0,0,98,0,1,59,0,0,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,AŢEL,143995,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:41:22",1385,1338,5,10,32,702,660,0,10,32,686,16,1489,787,34,48,54,60,0,0,0,62,1,0,237,3,1,364,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,"AXENTE SEVER",144116,2,FINAL,UAT,CL,CL_CE,"2024-06-13 14:39:47",3524,3461,5,35,23,1571,1511,2,35,23,1518,53,3815,2240,75,106,121,116,0,0,0,0,0,0,460,3,1,902,7,1,0,0,0,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,BÂRGHIŞ,144232,2,FINAL,UAT,CL,CL_CE,"2024-06-13 14:43:09",1635,1595,5,22,13,945,906,4,22,13,880,59,1746,807,44,61,70,68,44,0,0,309,4,0,79,1,0,323,4,1,40,0,0,43,0,0,0,0,0,0,0,0,28,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,BAZNA,144152,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:18:02",3050,2990,4,17,39,1414,1357,1,17,39,1315,99,3341,1927,65,92,105,101,0,0,0,0,0,0,571,5,0,574,5,1,0,0,0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,BIERTAN,144198,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:50:27",2417,2350,10,30,27,1144,1083,4,30,27,1098,46,2613,1469,54,76,87,99,0,0,0,195,1,1,270,2,1,633,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIBIU,BLĂJEL,144303,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:48:40",1866,1809,8,17,32,1152,1102,1,17,32,1095,57,2033,881,54,76,87,98,75,0,0,57,0,1,342,3,0,607,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
