precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
24,IAŞI,"FOSTA ŞCOALĂ SATUL SCOPOSENI",510,HORLEŞTI,97517,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:01",235,228,0,4,3,134,127,0,4,3,129,5,300,166,24,14,84,7
24,IAŞI,"GRĂDINIȚA BOGDĂNEŞTI",509,HORLEŞTI,97517,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:56:09",549,540,1,6,2,265,257,0,6,2,262,3,600,335,55,27,176,4
24,IAŞI,"ŞCOALA GIMNAZIALĂ HORLEŞTI CORP B",508,HORLEŞTI,97517,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:04:47",686,670,1,1,14,369,353,1,1,14,343,26,700,331,29,29,254,31
24,IAŞI,"ŞCOALA GIMNAZIALĂ HORLEŞTI CORP B",507,HORLEŞTI,97517,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:56",898,872,1,1,24,510,485,0,1,24,489,21,1000,490,65,42,352,30
