precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
9,BRĂILA,"ȘCOALA GIMNAZIALA OANCEA",223,ROMANU,43787,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:45",335,324,0,11,0,217,206,0,11,0,205,12,350,133,109,8,76,12
9,BRĂILA,"ȘCOALA GIMNAZIALA ROMANU",222,ROMANU,43787,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:12",1131,1118,4,5,4,696,685,2,5,4,663,33,1195,499,374,44,225,20
