precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMŞE VOICHIŢA-LIVICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GIURGELEA RADU-TIBERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","FEIER CORNELIU-LUCIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"CĂMIN CULTURAL LAZURI",411,VÂRFURILE,12689,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:17",585,570,2,3,10,382,367,2,3,10,362,20,640,258,165,181,16
2,ARAD,"CĂMINUL CULTURAL VÎRFURILE",409,VÂRFURILE,12689,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:23:24",923,888,4,10,21,556,524,1,10,21,541,15,996,439,129,382,30
2,ARAD,"ŞCOALA GENERALĂ AVRAM IANCU",410,VÂRFURILE,12689,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:45",593,559,5,7,22,439,410,0,7,22,424,15,650,211,61,328,35
