precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢIRIOI BOGDĂNEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CURUŢI IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","RUS IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","IVĂNESCU NICOLAE-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
37,TIMIŞ,"CLĂDIREA COMUNEI MĂNĂŞTIUR (FOSTA ŞCOALĂ GENERALĂ PĂDURANI)",471,MĂNĂŞTIUR,157736,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:16:34",64,50,0,11,3,44,30,0,11,3,43,1,100,56,1,6,33,3
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM NORMAL REMETEA-LUNCĂ",472,MĂNĂŞTIUR,157736,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:46",351,330,1,7,13,237,217,0,7,13,223,14,375,138,33,69,104,17
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ - ”GEORGE GÂRDA” MĂNĂŞTIUR (BIBLIOTECA)",470,MĂNĂŞTIUR,157736,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:56",993,954,0,11,28,657,618,0,11,28,633,24,1000,343,23,294,180,136
