precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi"
17,DOLJ,"CAMINUL CULTURAL",286,CASTRANOVA,71572,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:35",1583,1493,1,46,43,1120,1030,1,46,43,1120,0,1597,477,966,126,28,0
17,DOLJ,"ŞCOALA PUŢURI",287,CASTRANOVA,71572,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:40:41",1125,1048,0,60,17,757,680,0,60,17,733,24,1200,443,519,171,18,25
