precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HANGO MIHAELA-ELENA-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHUŢ GAVRIL-PARTIDUL NAȚIONAL LIBERAL-voturi"
13,CLUJ,"CĂMIN CULTURAL SRTÂMBU",411,CHIUIEŞTI,57083,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:44:09",312,307,0,5,0,199,194,0,5,0,189,10,339,140,53,136
13,CLUJ,"CENTRU DE ZI ÎNGRIJIRE BĂTRÂNI",410,CHIUIEŞTI,57083,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:15:40",315,294,0,13,8,203,182,0,13,8,201,2,338,135,104,97
13,CLUJ,"SALA NUNTI",409,CHIUIEŞTI,57083,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:42:14",97,91,0,6,0,63,57,0,6,0,62,1,100,37,17,45
13,CLUJ,"SCOALA GIMNAZ. CHIUIESTI",408,CHIUIEŞTI,57083,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:55",1148,1128,1,7,12,734,715,0,7,12,716,18,1262,528,207,509
