precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BEIU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","CIURARIU IONUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","MIHON IULIANA-PARTIDUL NAȚIONAL LIBERAL-voturi"
14,CONSTANŢA,"ȘCOALA GIMNAZIALA NR 1 SALIGNY",529,SALIGNY,63318,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:14",683,681,0,2,0,368,366,0,2,0,356,12,756,388,313,25,18
14,CONSTANŢA,"SCOALA PRIMARA NR 2 FACLIA",530,SALIGNY,63318,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:13:21",715,714,1,0,0,296,295,1,0,0,291,5,784,488,243,32,16
14,CONSTANŢA,"ȘCOALA PRIMARA NR 3 STEFAN CEL MARE",531,SALIGNY,63318,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:45",472,467,0,5,0,219,214,0,5,0,216,3,514,295,162,24,30
