precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHISĂLIŢĂ ION-PARTIDUL NAȚIONAL LIBERAL-voturi","ZSERAI GABRIELA-MINERVA-FLAVIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TORMA ADRIAN-CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂLEANU EUGEN-PARTIDUL VERDE-voturi","CÂRPIAN ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",130,"ORAŞ MOLDOVA NOUĂ",51056,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:37",1267,1242,3,5,17,670,648,0,5,17,644,26,1367,697,230,45,292,42,35
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",131,"ORAŞ MOLDOVA NOUĂ",51056,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:21",168,162,0,6,0,106,100,0,6,0,104,2,179,73,36,3,45,1,19
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",121,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 17:37:34",875,860,0,4,11,478,463,0,4,11,440,20,949,487,123,9,266,8,34
11,CARAŞ-SEVERIN,"CENTRUL CULTURAL PENTRU TINERET",120,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:17:25",1253,1233,0,8,12,659,639,0,8,12,644,12,1367,711,247,9,302,8,78
11,CARAŞ-SEVERIN,"CENTRUL DE AFACERI - BIROUL TAXE ȘI IMPOZITE",123,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:02:37",1109,1089,1,14,5,489,470,0,14,5,470,19,1221,732,157,19,258,20,16
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL ”BAMBI”",122,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:06:07",519,508,0,6,5,301,290,0,6,5,290,9,563,263,142,7,104,8,29
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII” (CICLUL GIMNAZIAL)",126,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:28:23",942,928,0,12,2,391,377,0,12,2,383,8,1036,645,116,20,201,29,17
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII” (CICLUL LICEAL)",125,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:42:44",789,774,0,13,2,321,306,0,13,2,311,5,852,535,92,7,173,20,19
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII ” CORP C4- ȘCOALA CU 10 CLASE",128,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:31:16",1286,1269,2,12,3,475,460,0,12,3,466,9,1400,925,112,13,312,25,4
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII” MOLDOVA NOUĂ (CICLUL LICEAL-INTRARE ELEVI)",124,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:19:22",1051,1030,1,16,4,392,372,0,16,4,385,7,1136,732,110,12,241,12,10
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC „CLISURA DUNĂRII” MOLDOVA NOUĂ - SEDIUL ALIANȚEI PENSIONARILOR DIN ROMÂNIA-FILIALA MOLDOVA NOUĂ",127,"ORAŞ MOLDOVA NOUĂ",51056,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:11",925,898,1,10,16,364,338,0,10,16,357,7,991,627,100,12,204,12,29
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ ”SVETI PETAR I PAVLE/SFÂNTUL PETRU ŞI PAVEL”",129,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:17",432,420,0,4,8,259,247,0,4,8,252,7,461,201,28,6,186,25,7
