precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ACȚIUNEA CONSERVATORILOR ROMÂNI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"CĂMINUL CULTURAL PÂRÂU VIU",159,BERLEŞTI,78926,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:44",607,573,1,25,8,407,374,0,25,8,391,16,604,197,97,273,8,4,9
20,GORJ,"CĂMINUL CULTURAL SCRADA",157,BERLEŞTI,78926,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:05:29",483,477,0,6,0,312,306,0,6,0,302,10,500,188,62,201,12,1,26
20,GORJ,"SALA DE EDUCAȚIE FIZICĂ ȘCOLARĂ",158,BERLEŞTI,78926,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:17",590,573,0,9,8,386,369,0,9,8,362,24,700,314,93,186,39,11,33
