precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","ROXIN ALEXANDRU-TRAIAN-voturi","STAN MIHAELA-voturi","ALIC ARTHUR-AMADEUS-voturi"
5,BIHOR,"CASA DE CULTURĂ ZILAHY LAJOS",170,"MUNICIPIUL SALONTA",26975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:47:25",1404,1378,11,7,8,604,588,1,7,8,594,7,1524,921,375,79,24,37,49,2,3,19,6,0
5,BIHOR,"CASA SFÂNTUL ANTON",175,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:27:56",480,468,2,7,3,273,263,0,7,3,265,8,524,251,168,34,9,14,16,10,6,7,1,0
5,BIHOR,"CENTRU ECONOMIC DE EDUCAȚIE ȘI AFACERI",173,"MUNICIPIUL SALONTA",26975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:59:37",1253,1238,4,5,6,525,514,0,5,6,513,12,1372,847,251,86,27,44,67,9,3,15,10,1
5,BIHOR,"COLEGIUL NAȚIONAL TEODOR NEŞ",172,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:54",740,732,3,4,1,382,377,0,4,1,370,12,812,430,203,49,20,32,31,8,3,16,8,0
5,BIHOR,"FOSTUL MAGAZIN WAGNER",166,"MUNICIPIUL SALONTA",26975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:23:59",1508,1490,6,7,5,752,739,1,7,5,723,29,1645,893,504,70,21,31,38,23,8,20,4,4
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”URSULEȚ„SALONTA",174,"MUNICIPIUL SALONTA",26975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:04:42",567,556,2,9,0,193,184,0,9,0,193,0,619,426,82,39,11,24,27,0,4,3,3,0
5,BIHOR,"GRĂDINIȚA CURCUBEU",169,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:39",833,814,3,12,4,495,479,0,12,4,478,17,916,421,370,38,15,21,13,8,4,7,2,0
5,BIHOR,"GRĂDINIȚA FLOAREA SOARELUI",167,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:18",1546,1514,0,8,24,858,826,0,8,24,835,23,1671,813,668,50,14,22,40,14,5,14,8,0
5,BIHOR,"GRĂDINIȚA FLUIERAȘUL FERMECAT",177,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:37",1533,1519,3,4,7,821,810,0,4,7,809,12,1701,880,527,99,19,46,68,18,6,19,7,0
5,BIHOR,"GRĂDINIȚA PRICHINDEL",179,"MUNICIPIUL SALONTA",26975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:46:24",829,822,0,5,2,459,452,0,5,2,443,6,912,463,319,27,17,19,19,7,8,21,6,0
5,BIHOR,"GRĂDINIȚA TOLDI",171,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:48",1085,1066,7,5,7,462,448,2,5,7,454,8,1193,731,261,65,14,32,47,10,5,8,11,1
5,BIHOR,"LICEUL TEHNOLOGIC NR.1",178,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:44",832,819,6,3,4,416,409,0,3,4,395,21,904,488,151,83,11,39,70,3,7,21,4,6
5,BIHOR,"LICEUL TEORETIC ARANY JANOS",168,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:11",1132,1121,5,4,2,617,611,0,4,2,602,10,1240,620,486,51,4,10,23,8,9,8,3,0
5,BIHOR,"ȘCOALA GENERALĂ",176,"MUNICIPIUL SALONTA",26975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:29:52",1141,1132,0,7,2,547,538,0,7,2,420,51,1254,783,258,0,39,27,46,10,7,14,16,3
5,BIHOR,"ȘCOALA GENERALĂ FÜVESKERT",180,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:04",766,760,0,5,1,459,453,0,5,1,449,10,835,376,128,238,24,11,37,2,2,4,3,0
