precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CSEKE ATTILA-ZOLTAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MOHAN AUREL-GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi","BLEJAN CIPRIAN-MIRCEA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOLOJAN ILIE-GAVRIL-PARTIDUL NAȚIONAL LIBERAL-voturi","ORJAN ALEX-ŞERBAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","HABINYÁK ISTVÁN-SEBESTYÉN-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","LASCA MIHAI-IOAN-PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi"
5,BIHOR,"AFTER SCHOOL",525,ROŞIA,30844,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:49",492,478,0,3,11,390,376,0,3,11,383,7,537,147,1,83,8,290,0,0,1
5,BIHOR,"BLOC PARTER",152,"MUNICIPIUL BEIUŞ",26804,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 01:02:54",1134,1112,2,18,2,700,680,0,18,2,680,20,1263,563,21,105,36,493,23,0,2
5,BIHOR,"BLOCURILE ANL",145,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:41:10",1785,1779,0,5,1,899,893,0,5,1,897,2,1942,1043,47,45,29,759,9,1,7
5,BIHOR,"CAMIN CULTURAL",616,TĂRCAIA,31609,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:58:43",365,316,0,40,9,311,262,0,40,9,310,1,360,30,7,166,2,130,5,0,0
5,BIHOR,"CAMIN CULTURAL",571,SÂRBI,31128,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:52:05",720,603,0,95,22,546,429,0,95,22,536,9,663,88,0,218,8,308,1,0,1
5,BIHOR,"CAMIN CULTURAL",617,TĂRCAIA,31609,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:25:32",222,205,0,8,9,192,175,0,8,9,187,5,239,47,3,43,12,126,2,0,1
5,BIHOR,"CAMIN CULTURAL",569,SÂRBI,31128,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:33:20",991,809,1,150,31,772,591,0,150,31,759,13,874,99,3,263,40,447,5,0,1
5,BIHOR,"CAMIN CULTURAL",560,"SÂNNICOLAU ROMÂN",32179,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:34:07",1078,972,1,95,10,821,716,0,95,10,794,27,1072,251,9,157,24,591,9,2,2
5,BIHOR,"CAMIN CULTURAL",582,"SUPLACU DE BARCĂU",31262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:02:58",728,707,0,7,14,510,489,0,7,14,473,37,804,294,12,199,37,214,7,1,3
5,BIHOR,"CĂMIN CULTURAL",627,TILEAGD,31716,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:50",342,336,0,5,1,163,157,0,5,1,145,18,372,209,65,13,11,52,3,0,1
5,BIHOR,"CĂMIN CULTURAL",287,BUNTEŞTI,27971,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:30:08",242,235,0,5,2,198,191,0,5,2,195,3,255,57,1,33,11,137,13,0,0
