precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUICĂ CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CÎRCIUMARU GHEORGHE-VALERICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHĂILĂ FLORIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FIERĂSCU CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
36,TELEORMAN,"CASA DE CULTURĂ",51,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:58:41",1017,1000,0,16,1,402,385,0,16,1,398,4,1110,708,34,175,24,165
36,TELEORMAN,"CENTRUL CULTURAL",40,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:34:31",1014,1007,0,5,2,412,405,0,5,2,395,17,1110,698,28,219,31,117
36,TELEORMAN,"CLUBUL COPIILOR",44,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-11 13:33:39",1253,1247,1,5,0,547,542,0,5,0,531,16,1380,833,25,248,37,221
36,TELEORMAN,"COLEGIUL NAŢIONAL ”ANASTASESCU”",52,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:08:09",1307,1306,0,1,0,522,521,0,1,0,495,27,1480,958,46,252,32,165
36,TELEORMAN,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”",38,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:32:40",991,980,0,9,2,426,415,0,9,2,413,13,1100,674,32,215,26,140
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",53,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:15",1155,1145,0,9,1,438,428,0,9,1,424,14,1300,862,12,225,32,155
36,TELEORMAN,"GRĂDINITA CU PROGRAM NORMAL NR.5",48,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:11",1332,1325,1,4,2,492,486,0,4,2,475,17,1470,978,22,218,44,191
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.5",49,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:11",1030,1018,0,7,5,459,447,0,7,5,447,12,1120,661,37,191,64,155
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 6",55,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:50",964,957,0,4,3,372,365,0,4,3,356,16,1060,688,20,156,32,148
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1",39,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:47:56",987,981,0,3,3,396,390,0,3,3,385,11,1080,684,26,157,40,162
