precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLARU PAUL-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ZENG IOAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","VLAD EMILIA-FELICIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","JUCAN CORNEL-OCTAVIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SÜKÖSD IOAN-MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BALEA IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"CAMIN CULTURAL",549,"MIHAI VITEAZU",55277,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:38",686,667,1,15,3,409,391,0,15,3,396,13,735,326,236,122,8,13,1,16
13,CLUJ,"CASA DE CULTURĂ",547,"MIHAI VITEAZU",55277,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:41",1455,1429,3,20,3,740,716,1,20,3,727,13,1572,832,238,201,19,114,23,132
13,CLUJ,"SALA DE SPORT",545,"MIHAI VITEAZU",55277,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:49:13",1498,1475,1,14,8,794,772,0,14,8,780,14,1612,818,262,265,49,99,13,92
13,CLUJ,"SALA DE SPORT",546,"MIHAI VITEAZU",55277,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:56",968,959,1,5,3,511,503,0,5,3,506,5,1059,548,140,224,20,67,3,52
13,CLUJ,"ŞCOALA GENERALĂ",548,"MIHAI VITEAZU",55277,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:10:44",455,447,2,6,0,263,256,1,6,0,257,6,499,236,156,62,6,7,4,22
