precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ONIGA GHIORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRILĂ DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
29,NEAMŢ,"CAMIN CULTURAL",174,BICAZ-CHEI,121297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:59",1091,1073,1,6,11,593,576,0,6,11,576,17,1200,607,343,233
29,NEAMŢ,"SCOALA GIMNAZIALA NR.1",176,BICAZ-CHEI,121297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:30",1022,1004,0,3,15,677,659,0,3,15,658,19,1100,423,458,200
29,NEAMŢ,"SCOALA GIMNAZIALA NR. 2",175,BICAZ-CHEI,121297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:12:57",790,780,0,7,3,438,428,0,7,3,430,8,900,462,238,192
29,NEAMŢ,"SCOALA GIMNAZIALA NR.3",177,BICAZ-CHEI,121297,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:21",713,698,0,6,9,492,477,0,6,9,481,11,800,308,253,228
