precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PROGRESIST-voturi"
29,NEAMŢ,"CĂMINUL CULTURAL",423,SECUIENI,124233,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:43",857,849,1,3,4,455,448,0,3,4,433,22,900,445,85,39,253,56
29,NEAMŢ,"CĂMINUL CULTURAL",421,SECUIENI,124233,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:40",737,725,0,4,8,393,381,0,4,8,376,17,800,407,123,58,136,59
29,NEAMŢ,CLĂDIRE,424,SECUIENI,124233,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:42:19",204,197,0,6,1,120,113,0,6,1,116,4,300,180,20,39,50,7
29,NEAMŢ,"ȘCOALA BAȘTA",422,SECUIENI,124233,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:05",531,529,0,1,1,314,312,0,1,1,297,17,574,260,128,81,75,13
29,NEAMŢ,"ȘCOALA SECUIENII NOI",425,SECUIENI,124233,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:38",236,229,1,6,0,106,100,0,6,0,102,4,274,168,44,21,34,3
