precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIK JOZSEF-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","GYÖRGY LÁSZLÓ-PARTIDUL OAMENILOR LIBERI-voturi"
21,HARGHITA,"LICEUL TEHNOLOGIC „ZIMMETHAUSEN„",74,"ORAŞ BORSEC",83491,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:31:07",897,875,5,4,13,506,488,1,4,13,496,10,1100,594,429,67
21,HARGHITA,"SEDIUL CONSILIULUI LOCAL",75,"ORAŞ BORSEC",83491,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:40",1353,1340,1,0,12,804,793,0,0,11,787,17,1300,496,723,64
