precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FIŢIGĂU MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢIPLEA VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",154,"ORAŞ DRAGOMIREŞTI",108017,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:43",1354,1283,2,27,42,747,678,0,27,42,720,16,1386,639,280,440
26,MARAMUREŞ,"SALA DE SPORT",153,"ORAŞ DRAGOMIREŞTI",108017,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:44:58",1282,1225,0,17,40,687,630,0,17,40,670,15,1386,699,257,413
