precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PATRAŞCU ANTON-voturi"
4,BACĂU,"CĂMINUL CULTURAL HEMEIUŞ",385,HEMEIUŞ,20313,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:04:06",1567,1554,5,6,2,792,783,1,6,2,774,18,1700,908,72,73,152,419,12,3,21,22
4,BACĂU,"ŞCOALA GENERALA GRIGORE TĂBĂCARU HEMEIUŞ",386,HEMEIUŞ,20313,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:54",1271,1268,0,3,0,683,680,0,3,0,664,19,1400,717,54,63,125,377,18,5,15,7
4,BACĂU,"SCOALA GENERALA ION SIMIONESCU, LILIECI",387,HEMEIUŞ,20313,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:00",1581,1577,1,2,1,733,730,0,2,1,712,21,1700,967,72,72,152,321,25,10,40,20
4,BACĂU,"ŞCOALA GIMNAZIALA ION SIMIONESCU LILIECI",388,HEMEIUŞ,20313,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:39:10",1508,1505,1,2,0,751,749,0,2,0,730,21,1600,849,79,84,125,358,35,6,37,6
