precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ION RALUCA-FORȚA DREPTEI-voturi","SEVERIN FLORINEL-DANIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","DRĂGAN DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TODERAŞC ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BACLOV MIHAELA-BEATRICE-PARTIDUL NAȚIONAL LIBERAL-voturi"
41,VRANCEA,"LICEUL TEHNOLOGIC ”EREMIA GRIGORESCU”",77,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,P,P_SV,"2024-06-11 16:37:30",1573,1562,5,5,1,593,586,1,5,1,577,16,923,330,14,24,131,315,93
41,VRANCEA,"LICEUL TEHNOLOGIC ”EREMIA GRIGORESCU”",78,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,P,P_SV,"2024-06-11 17:38:09",1390,1357,2,4,27,578,547,0,4,27,551,27,1524,946,27,27,149,241,107
41,VRANCEA,"ŞCOALA DOAGA",81,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:03",222,214,0,8,0,77,69,0,8,0,70,7,235,158,6,6,20,20,18
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ECATERINA TEODOROIU”",75,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,P,P_SV,"2024-06-13 12:22:54",771,764,0,5,2,314,307,0,5,2,302,12,843,529,9,5,119,109,60
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ECATERINA TEODOROIU”",74,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,P,P_SV,"2024-06-13 12:34:55",1327,1318,0,3,6,647,638,0,3,6,629,17,1455,808,12,23,205,245,144
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",79,"ORAŞ MĂRĂŞEŞTI",174922,2,PART,PRCNCT,P,P_SV,"2024-06-11 17:51:51",1155,1143,3,8,1,444,435,0,8,1,430,14,1258,814,16,29,120,207,58
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",80,"ORAŞ MĂRĂŞEŞTI",174922,2,PART,PRCNCT,P,P_SV,"2024-06-11 17:31:11",306,296,0,9,1,119,109,0,9,1,114,5,324,205,7,1,35,48,23
41,VRANCEA,"ŞCOALA PĂDURENI",84,"ORAŞ MĂRĂŞEŞTI",174922,2,PART,PRCNCT,P,P_SV,"2024-06-11 16:51:26",411,399,0,10,2,203,191,0,10,2,197,6,440,237,3,7,24,77,86
41,VRANCEA,"ŞCOALA PRIMARĂ CĂLIMĂNEŞTI",82,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:26",466,460,0,6,0,244,238,0,6,0,230,14,504,260,8,5,87,107,23
41,VRANCEA,"ŞCOALA PRIMARĂ HARET",83,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,P,P_SV,"2024-06-11 17:28:57",537,530,0,5,2,304,297,0,5,2,293,11,585,281,11,25,66,132,59
41,VRANCEA,"ŞCOALA PRIMARĂ ”SIRETU”",76,"ORAŞ MĂRĂŞEŞTI",174922,2,PART,PRCNCT,P,P_SV,"2024-06-11 16:32:57",1911,1902,0,7,2,722,713,0,7,2,624,98,2099,1377,18,7,321,228,50
