precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"CASA SPECIALISTULUI",357,VĂLENI,129763,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:49",514,466,0,26,22,365,317,0,26,22,351,14,512,147,200,50,69,32
30,OLT,"ŞCOALA GENERALĂ VĂLENI",356,VĂLENI,129763,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:58:48",856,769,2,54,31,617,531,1,54,31,594,17,845,234,324,65,131,74
30,OLT,"ŞCOALA GENERALĂ VĂLENI",355,VĂLENI,129763,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:04:41",847,767,0,51,29,573,493,0,51,29,563,10,835,262,257,59,150,97
