precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
29,NEAMŢ,"FOSTA SCOALA CU CLASELE I-IV SATUL HOCIUNGI",332,MOLDOVENI,123228,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:21",641,608,0,0,33,418,385,0,0,33,389,29,700,282,193,35,92,10,59
29,NEAMŢ,"SCOALA GIMNAZIALA SATUL MOLDOVENI",331,MOLDOVENI,123228,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:01",986,958,0,2,26,617,589,0,2,26,557,32,1090,473,241,117,22,31,146
