precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FLOREA VALENTIN-voturi"
49,"Sector 6","A.D.P.D.U. SECTOR 6",1077,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:16:00",1166,1074,83,9,0,523,513,1,9,0,508,15,1100,577,250,49,12,34,1,2,5,8,126,6,15
49,"Sector 6","CENTRUL EUROPEAN SECTOR 6",1173,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:32:13",1316,1307,4,5,0,628,623,0,5,0,611,17,1300,672,307,74,15,24,3,4,6,8,129,18,23
49,"Sector 6","CLUBUL SENIORILOR MIHAI EMINESCU",1289,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:37:33",951,937,0,12,2,438,424,0,12,2,419,19,900,462,180,28,9,36,6,3,0,8,129,11,9
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1111,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:11:34",1037,1023,4,10,0,521,511,0,10,0,504,17,1000,479,265,40,9,30,2,1,3,3,120,14,17
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1110,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:03:58",1171,1163,2,6,0,575,569,0,6,0,553,22,1200,625,281,53,21,23,5,6,8,7,128,11,10
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1113,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:53:38",913,904,3,6,0,390,384,0,6,0,382,8,900,510,202,22,10,27,4,1,4,6,90,11,5
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1112,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:00:45",1055,1047,0,8,0,540,532,0,8,0,527,13,1100,560,293,46,14,21,6,3,6,5,106,9,18
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1083,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:21:57",1946,1873,43,30,0,1140,1110,0,30,0,979,8,1900,522,468,44,9,80,5,3,0,7,342,4,17
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1082,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 10:25:57",1509,1496,6,7,0,638,631,0,7,0,614,17,1500,862,309,43,22,32,5,4,3,9,163,15,9
49,"Sector 6","COLEGIUL TEHNIC ”CAROL I”",1261,"BUCUREŞTI SECTORUL 6",179132,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:25:25",1164,1153,5,5,1,485,479,0,5,1,471,14,1199,714,248,38,17,24,5,3,3,2,109,15,7
