precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM NORMAL SELIȘTAT",432,ŞOARŞ,41943,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:39",171,161,3,7,0,87,80,0,7,0,84,3,199,112,7,16,20,41
8,BRAŞOV,"PRIMĂRIA COMUNEI ȘOARȘ",428,ŞOARŞ,41943,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:40",507,492,0,12,3,301,286,0,12,3,275,26,500,199,69,52,27,127
8,BRAŞOV,"ȘCOALA GENERALĂ BĂRCUT",429,ŞOARŞ,41943,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:31:23",348,330,0,15,3,192,174,0,15,3,171,21,369,177,22,22,18,109
8,BRAŞOV,"ȘCOALA GENERALĂ FELMER",430,ŞOARŞ,41943,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:28:46",391,371,0,19,1,262,242,0,19,1,234,28,1876,687,12,64,40,118
8,BRAŞOV,"ȘCOALA GENERALĂ RODBAV",431,ŞOARŞ,41943,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:32:32",266,256,1,6,3,156,146,1,6,3,137,19,300,144,13,31,15,78
