precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHEORGHIŢĂ RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHEORGHE SILVIU-STOICA-PARTIDUL NAȚIONAL LIBERAL-voturi"
41,VRANCEA,"SCOALA GIMNAZIALA CU CLASELE I-VIII BALESTI",104,BĂLEŞTI,175206,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:19:32",573,486,0,21,66,573,486,0,21,66,483,24,763,256,76,407
41,VRANCEA,"SCOALA GIMNAZIALA CU CLASELE I-VIII BALESTI",103,BĂLEŞTI,175206,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:29",912,808,0,25,79,589,485,0,25,79,566,23,883,294,114,452
