precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FIREA GABRIELA-PARTIDUL SOCIAL DEMOCRAT-voturi","BURDUJA SEBASTIAN-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ENACHE MIHAI-ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IACOB DORIN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","IOVANOVICI-ŞOŞOACĂ DIANA-PARTIDUL S.O.S. ROMÂNIA-voturi","POPESCU CRISTIAN-VICTOR PIEDONE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÂNIŞOARĂ ALEXANDRU-PARTIDUL ECOLOGIST ROMÂN-voturi","DAN NICUŞOR-DANIEL-voturi","FILIP CONSTANTIN-TITIAN-voturi"
44,"Sector 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",166,"BUCUREŞTI SECTORUL 1",179141,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 14:45:48",2070,2024,34,11,1,1085,1072,1,11,1,1075,8,2278,1195,233,292,10,3,7,50,8,464,8
44,"Sector 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",165,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 00:43:10",2165,2031,105,29,0,1098,1069,0,29,0,1072,21,2360,1262,217,196,7,4,4,34,3,607,0
44,"Sector 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",69,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:55:31",593,571,11,10,1,246,235,0,10,1,239,6,660,414,53,21,6,4,8,28,1,118,0
44,"Sector 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",68,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 11:55:58",960,888,55,16,1,341,323,1,16,1,336,5,1030,689,72,33,9,1,12,26,1,181,1
49,"Sector 6","A.D.P.D.U. SECTOR 6",1077,"BUCUREŞTI SECTORUL 6",179196,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 20:59:16",1167,1074,84,9,0,523,513,1,9,0,515,8,1100,577,116,52,14,1,12,37,3,277,3
49,"Sector 6","CENTRUL EUROPEAN SECTOR 6",1173,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 07:32:13",1316,1307,4,5,0,628,623,0,5,0,620,8,1300,672,145,55,25,2,13,79,4,295,2
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",89,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 14:08:30",1179,1156,14,9,0,539,530,0,9,0,533,6,1280,741,133,57,12,1,12,53,3,261,1
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",88,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 09:45:42",1555,1523,13,18,1,768,748,1,18,1,759,9,1700,932,125,62,27,3,26,70,5,439,2
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",90,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 14:29:58",1394,1350,37,7,0,677,670,0,7,0,662,15,1550,873,154,54,11,4,10,72,4,347,6
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",391,"BUCUREŞTI SECTORUL 3",179169,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-16 12:36:39",1169,1152,13,3,1,519,515,0,3,1,515,4,1269,750,115,56,12,4,7,44,4,270,3
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",392,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 10:41:36",1605,1570,18,17,0,633,616,0,17,0,625,6,1741,1108,129,58,22,3,14,40,2,355,2
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",390,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 15:49:40",1343,1324,14,5,0,584,579,0,5,0,579,5,1454,870,117,71,19,1,16,34,6,314,1
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",388,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:12:32",1436,1402,30,4,0,590,585,1,4,0,579,11,1549,959,146,25,19,7,22,72,10,270,8
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",393,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:17:13",1166,1129,22,15,0,427,412,0,15,0,413,14,1252,825,88,56,11,3,6,34,3,211,1
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",389,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 05:15:13",1047,1033,3,11,0,483,472,0,11,0,480,3,1135,652,113,53,22,3,16,29,0,241,3
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",387,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:13:49",1396,1324,54,18,0,629,609,2,18,0,624,5,1460,831,136,62,35,2,18,44,4,319,4
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",30,"BUCUREŞTI SECTORUL 1",179141,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 01:52:23",1962,1908,48,6,0,1041,1035,0,6,0,1040,1,2150,1109,195,110,15,1,7,49,2,656,5
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",29,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 08:53:36",2037,1918,105,14,0,909,895,0,14,0,897,8,2219,1314,161,134,18,2,17,66,0,495,4
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",28,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 14:18:29",2019,1967,38,13,1,958,943,1,13,1,941,10,2210,1252,199,80,28,4,21,108,2,491,8
45,"Sector 2","CLUB SPORTIV ŞCOLAR NR. 2",312,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 03:50:26",1288,1273,7,8,0,627,619,0,8,0,622,5,1600,973,143,43,20,2,13,49,2,348,2
45,"Sector 2","CLUB SPORTIV ŞCOLAR NR. 2",311,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 02:32:25",1546,1508,30,8,0,705,697,0,8,0,695,2,1600,895,161,51,25,2,16,68,2,369,1
48,"Sector 5","CLUBUL COPIILOR SECTOR 5",927,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:24:28",1269,1264,3,2,0,566,564,0,2,0,556,10,1400,834,79,25,13,5,8,208,4,207,7
48,"Sector 5","CLUBUL COPIILOR SECTOR 5",926,"BUCUREŞTI SECTORUL 5",179187,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 20:16:22",1229,1216,6,7,0,599,592,0,7,0,584,11,1400,801,94,40,13,1,6,185,4,238,3
49,"Sector 6","CLUBUL SENIORILOR MIHAI EMINESCU",1289,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:37:33",951,937,0,12,2,438,424,0,12,2,432,6,900,462,70,45,12,0,8,39,2,255,1
49,"Sector 6","CLUBUL SPORTIV SCOLAR NR. 5",1244,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 11:57:45",1522,1449,34,38,1,755,715,1,38,1,755,0,1396,641,90,71,4,3,4,45,5,530,3
44,"Sector 1","CLUBUL SPORTIV ŞCOLAR NR.5",110,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 20:29:05",935,897,33,5,0,333,328,0,5,0,328,5,1040,707,88,25,9,0,13,57,1,134,1
44,"Sector 1","CLUBUL SPORTIV ŞCOLAR NR.5",109,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 12:39:43",939,934,0,5,0,374,369,0,5,0,367,7,1030,656,86,35,8,1,10,69,0,158,0
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",350,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 16:03:59",1125,1098,15,9,3,491,479,0,9,3,484,6,1200,710,84,52,23,3,4,34,3,280,1
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",351,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 03:59:47",886,869,10,7,0,321,314,0,7,0,314,3,1200,883,66,30,9,0,11,29,4,163,2
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",352,"BUCUREŞTI SECTORUL 2",179150,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 15:31:29",1327,1310,9,8,0,646,637,1,8,0,644,2,1500,854,117,61,24,2,17,44,2,375,2
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",353,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 08:00:14",1419,1398,17,4,0,619,615,0,4,0,612,7,1500,881,149,47,29,1,23,79,3,281,0
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",372,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 14:14:33",1198,1172,19,7,0,329,322,0,7,0,316,13,1296,966,85,25,8,3,12,34,1,145,3
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",370,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 16:47:01",726,680,41,4,1,168,162,1,4,1,168,0,751,583,32,10,10,3,4,40,1,68,0
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",371,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 20:17:39",844,709,118,1,16,262,245,0,1,16,261,1,782,520,75,31,16,1,5,31,3,99,0
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",369,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 08:59:19",1424,1339,80,5,0,266,260,1,5,0,260,6,1513,1246,52,26,12,2,10,21,2,132,3
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",374,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 22:29:21",1368,1338,21,9,0,554,545,0,9,0,551,3,1458,904,131,40,15,2,14,64,0,283,2
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",373,"BUCUREŞTI SECTORUL 3",179169,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 16:06:08",981,944,31,6,0,319,313,0,6,0,317,2,1053,734,85,27,17,0,11,40,2,134,1
44,"Sector 1","COLEGIUL ECONOMIC ”V. MADGEARU”",66,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 09:33:09",1030,988,33,9,0,457,445,3,9,0,452,5,1120,663,86,52,11,2,9,22,3,266,1
44,"Sector 1","COLEGIUL ECONOMIC ”V. MADGEARU”",67,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 09:56:46",1061,990,54,14,3,453,432,4,14,3,447,6,1130,677,110,47,8,1,2,37,3,236,3
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",101,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:05:56",750,722,22,6,0,341,335,0,6,0,339,2,840,499,78,35,8,1,0,20,1,194,2
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",100,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:05:44",915,865,41,8,1,434,425,0,8,1,429,5,1000,566,84,45,5,1,9,17,0,266,2
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",102,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 11:25:09",885,858,23,4,0,421,416,1,4,0,412,9,980,559,98,58,6,1,3,33,1,212,0
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",133,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 15:24:31",850,842,3,4,1,420,415,0,4,1,418,2,938,518,80,42,25,2,8,32,3,224,2
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",132,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 14:51:28",1193,1179,7,7,0,647,640,0,7,0,639,8,1312,665,135,64,27,2,10,38,3,355,5
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",131,"BUCUREŞTI SECTORUL 1",179141,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 05:04:53",1693,1655,25,11,2,916,901,2,11,2,910,4,1850,934,141,88,20,4,4,64,5,583,1
45,"Sector 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",354,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:01:48",1341,1316,16,9,0,620,611,0,9,0,614,6,1500,880,114,72,15,3,12,30,2,362,4
45,"Sector 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",355,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:50:16",1590,1575,0,15,0,697,682,0,15,0,686,11,1700,1003,159,56,19,0,13,53,2,382,2
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",333,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 14:28:09",936,898,17,14,7,428,405,2,14,7,423,5,1108,680,89,32,11,3,8,12,1,265,2
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",336,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 21:18:44",1452,1414,35,3,0,651,645,3,3,0,636,11,1600,953,157,65,19,3,15,39,3,334,1
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",335,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 18:25:35",1129,1101,19,8,1,478,467,2,8,1,465,13,1200,720,109,48,10,1,18,47,6,225,1
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",334,"BUCUREŞTI SECTORUL 2",179150,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-19 11:49:05",1199,1147,40,12,0,598,585,1,12,0,590,8,1300,702,107,66,23,5,7,34,4,341,3
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",666,"BUCUREŞTI SECTORUL 4",179178,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 09:34:42",1105,1077,19,9,0,451,441,1,9,0,451,0,1200,749,95,25,11,4,11,64,6,233,2
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",667,"BUCUREŞTI SECTORUL 4",179178,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 05:38:15",1329,1282,33,14,0,560,545,1,14,0,548,12,1400,840,65,42,12,2,21,69,4,333,0
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",57,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 11:07:38",1190,1100,73,13,4,583,565,1,13,4,579,4,1280,697,116,82,10,2,11,15,4,339,0
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",59,"BUCUREŞTI SECTORUL 1",179141,4,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 11:20:32",1137,1071,53,10,3,533,520,0,10,3,524,9,1230,697,106,82,11,3,4,25,7,286,0
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",58,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 14:26:24",1318,1286,11,21,0,756,735,0,21,0,746,10,1440,684,148,89,17,2,12,35,2,441,0
44,"Sector 1","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",74,"BUCUREŞTI SECTORUL 1",179141,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 12:25:50",1073,1011,31,30,1,508,478,2,27,1,502,4,1138,632,104,56,15,5,10,39,5,266,2
44,"Sector 1","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",75,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 09:39:46",1222,1172,43,7,0,434,426,1,7,0,428,5,1337,904,78,40,15,0,11,37,4,240,3
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1111,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:11:34",1037,1023,4,10,0,521,511,0,10,0,512,9,1000,479,124,43,13,0,11,44,3,272,2
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1110,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:04:00",1171,1163,2,6,0,575,569,0,6,0,568,7,1200,625,121,72,16,2,17,41,6,289,4
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1113,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:53:38",913,904,3,6,0,390,384,0,6,0,388,2,900,510,80,30,9,0,8,23,2,234,2
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1112,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:00:46",1055,1047,0,8,0,540,532,0,8,0,530,10,1100,560,131,41,20,4,6,44,3,279,2
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",317,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:24:06",1362,1337,13,11,1,647,635,0,11,1,639,8,1500,853,148,34,27,0,12,42,0,374,2
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",318,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 08:25:48",1083,1048,20,13,2,551,537,0,12,2,532,17,1200,650,101,38,20,3,19,35,3,313,0
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",319,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 17:20:50",1727,1700,10,12,5,749,731,1,12,5,743,6,1700,951,172,71,32,6,19,64,2,375,2
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",957,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 04:47:08",852,802,49,1,0,311,311,0,0,0,305,6,900,589,73,22,9,1,2,26,3,168,1
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",956,"BUCUREŞTI SECTORUL 5",179187,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 09:07:15",630,614,11,5,0,299,294,0,5,0,294,5,700,401,44,37,10,1,7,19,0,175,1
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",960,"BUCUREŞTI SECTORUL 5",179187,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-13 18:20:03",589,566,1,7,15,220,197,1,7,15,217,3,800,580,43,18,8,1,3,21,1,122,0
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",959,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:47:10",727,692,24,11,0,304,292,1,11,0,294,10,800,496,51,14,9,1,6,30,2,180,1
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",958,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 03:37:03",442,421,18,2,1,155,152,0,2,1,154,1,600,445,40,9,3,0,0,21,1,80,0
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1083,"BUCUREŞTI SECTORUL 6",179196,3,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 05:42:47",1946,1873,43,30,0,985,955,0,30,0,982,3,1900,915,101,104,14,1,9,53,4,693,3
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1082,"BUCUREŞTI SECTORUL 6",179196,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 15:45:31",1509,1496,6,7,0,631,624,0,7,0,619,12,1493,862,143,49,14,4,15,51,2,340,1
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1084,"BUCUREŞTI SECTORUL 6",179196,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 21:46:13",1569,1515,23,29,2,760,729,0,29,2,756,0,1381,621,112,72,14,4,12,38,3,497,4
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1085,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 12:09:34",1623,1595,17,11,0,667,656,0,11,0,650,17,1600,933,127,59,20,2,10,54,2,374,2
