precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COTOS DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUŢA GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","CAZACU VASILE-SĂNDEL-PARTIDUL SOCIAL DEMOCRAT-voturi","NASTASI GHEORGHE-PARTIDUL ECOLOGIST ROMÂN-voturi","CUŞNIR IULIAN-MARIUS-PARTIDUL S.O.S. ROMÂNIA-voturi","BODNAR PETRICĂ-SORIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","OLARIU CRISTINEL-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"PRIMĂRIA COMUNEI DORNEȘTI",289,DORNEŞTI,148293,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:12:32",1817,1788,0,7,22,932,903,0,7,22,897,35,1950,1018,69,304,335,19,128,11,31
35,SUCEAVA,"SCOALA GIMNAZIALA DORNESTI",288,DORNEŞTI,148293,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:08",1780,1775,3,2,0,808,806,0,2,0,789,19,1950,1142,136,181,295,8,73,39,57
35,SUCEAVA,"SCOALA PRIMARA IAZ",290,DORNEŞTI,148293,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:00",236,225,0,11,0,118,107,0,11,0,118,0,280,162,2,39,52,0,20,3,2
