precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRAN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","CALOTĂ ALBERTA-MIHAELA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NANCIU NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"GRĂDINȚA LĂCULEȚE",252,GLODENI,67522,2,PART,PRCNCT,P,P_SV,"2024-06-12 13:10:52",709,708,0,0,1,416,415,0,0,1,408,8,775,359,275,24,109
16,DÂMBOVIŢA,"ȘCOALA ”BUICĂ IONESCU”",251,GLODENI,67522,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:56",1120,1114,1,1,4,710,705,0,1,4,684,26,1240,530,339,45,300
16,DÂMBOVIŢA,"ȘCOALA ”BUICĂ IONESCU”",250,GLODENI,67522,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:06",1498,1493,0,2,3,873,868,0,2,3,845,28,1638,765,501,39,305
