precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"CĂMINUL CULTURAL LUNGA",65,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:29",978,957,1,6,14,422,402,0,6,14,402,20,1100,678,7,332,42,21
15,COVASNA,"CĂMINUL CULTURAL TINOASA",64,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:37:04",352,346,0,6,0,155,149,0,6,0,150,5,400,245,7,119,21,3
15,COVASNA,"CASA MUNICIPALĂ DE CULTURĂ ”VIGADÓ” TÂRGU SECUIESC",51,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:54:23",1294,1285,0,7,2,543,534,0,7,2,518,25,1385,842,17,399,84,18
15,COVASNA,"COLEGIUL NAȚIONAL ”NAGY MÓZES” TÂRGU SECUIESC",52,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:11",1100,1090,0,5,5,515,505,0,5,5,487,28,1200,685,15,360,93,19
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL ”BENEDEK ELEK” TÂRGU SECUIESC",55,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:01",1243,1229,2,7,5,462,450,0,7,5,453,9,1400,938,39,302,93,19
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 TÂRGU SECUIESC",60,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:43:06",903,890,1,10,2,404,392,0,10,2,395,9,1000,596,20,300,61,14
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ” CSIPKERÓZSIKA”",57,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:55",1325,1316,0,8,1,518,509,0,8,1,510,1,1500,989,40,347,90,33
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MANÓCSKA” TÂRGU SECUIESC",59,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:49:50",1238,1228,0,10,0,499,489,0,10,0,488,11,1400,901,31,358,89,10
15,COVASNA,"LICEUL PEDAGOGIC ”BOD PÉTER” TÂRGU SECUIESC",53,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:49:02",1172,1155,2,4,11,508,493,0,4,11,500,8,1300,792,54,365,67,14
15,COVASNA,"LICEUL TEHNOLOGIC ”GÁBOR ÁRON” TÂRGU SECUIESC",61,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:28",1073,1052,3,8,10,434,416,0,8,10,413,8,1200,764,42,298,56,17
15,COVASNA,"” LICEUL TEOLOGIC REFORMAT DR.CSIHA KÁLMÁN ” TÂRGU SECUIESC",54,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:43",1162,1138,9,8,7,505,490,0,8,7,492,13,1300,795,31,388,64,9
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”MOLNÁR JOZSIÁS” TÂRGU SECUIESC",62,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:03:14",1121,1109,4,6,2,556,548,0,6,2,542,14,1200,636,19,415,87,21
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”PETŐFI SÁNDOR” TÂRGU SECUIESC",56,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:42",1218,1208,4,6,0,533,527,0,6,0,517,16,1300,767,46,361,93,17
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”TUROCZI MÓZES” TÂRGU SECUIESC",58,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:17:53",1238,1231,0,7,0,457,450,0,7,0,449,8,1300,843,54,308,65,22
15,COVASNA,"ŞCOALA PRIMARĂ RUSENI, TÂRGU SECUIESC",63,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:58",609,602,1,5,1,353,347,0,5,1,349,4,600,247,17,253,64,15
