precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
7,BOTOŞANI,"GRADINITA CU PROGRAM NORMAL NR.2 HAVIRNA(CATUN BASEU)",264,HAVÂRNA,37547,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:46",632,628,0,0,4,300,296,0,0,4,292,8,700,400,97,55,123,6,8,3
7,BOTOŞANI,"SCOALA GIMNAZIALA ” IANCU MUNTEANU” TATARASENI",266,HAVÂRNA,37547,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:27:08",608,598,1,1,8,317,308,0,1,8,302,15,616,299,153,47,73,17,8,4
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ” IOAN CERNAT” HAVÂRNA -CORPUL 2",263,HAVÂRNA,37547,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:41:01",957,943,0,3,11,454,440,0,3,11,427,24,1000,549,156,104,133,12,15,7
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ” IOAN CERNAT” HAVÂRNA -CORPUL 2",262,HAVÂRNA,37547,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:03:14",849,835,0,0,14,413,399,0,0,14,384,29,1000,587,112,69,162,9,13,19
7,BOTOŞANI,"SCOALA PRIMARA ”DUMITRU POMPAS” BALINTI",265,HAVÂRNA,37547,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:40:58",345,342,0,1,2,113,110,0,1,2,110,3,406,292,47,16,41,2,4,0
