precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
5,BIHOR,"CĂMINUL CULTURAL BOTEAN",421,INEU,29724,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:18:42",520,510,0,9,1,284,275,0,9,0,268,16,564,280,15,4,152,97
5,BIHOR,"CĂMINUL CULTURAL HUSASĂU DE CRIȘ",422,INEU,29724,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:09",1063,1043,3,17,0,678,661,0,17,0,650,28,1149,471,24,5,308,313
5,BIHOR,"ȘCOALA GIMNAZIALĂ ”PUIU SEVER”",419,INEU,29724,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:16",894,877,2,15,0,533,518,0,15,0,520,13,969,434,17,108,234,161
5,BIHOR,"ȘCOALA GIMNAZIALĂ ”PUIU SEVER”",420,INEU,29724,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:54:59",1264,1260,0,4,0,653,649,0,4,0,553,100,1398,745,77,3,429,44
