precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CĂMINUL CULTURAL SĂRMĂŞEL",187,"ORAŞ SĂRMAŞU",119242,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:27:32",600,588,0,7,5,377,365,0,7,5,365,12,623,246,179,132,7,28,10,2,3,4
28,MUREŞ,"CĂMINUL CULTURAL SĂRMĂŞEL GARĂ",186,"ORAŞ SĂRMAŞU",119242,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:00",532,514,1,5,12,326,308,1,5,12,314,12,585,259,181,71,21,30,8,3,0,0
28,MUREŞ,"CĂMINUL CULTURAL SATUL ILIEŞI",199,"ORAŞ SOVATA",114854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:47:23",349,341,0,8,0,151,143,0,8,0,139,12,390,239,7,3,127,0,1,0,0,1
28,MUREŞ,"CĂMINUL CULTURAL ȘĂULIA",539,ŞĂULIA,119750,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:25:00",1279,1204,0,28,47,910,835,0,28,47,804,106,1369,456,399,292,4,81,15,6,2,5
28,MUREŞ,"CĂMINUL CULTURAL SEUCA",381,GĂNEŞTI,116938,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:13",956,918,2,3,33,488,451,1,3,33,470,16,1020,534,44,46,330,29,12,3,3,3
28,MUREŞ,"CĂMINUL CULTURAL ȘINCAI",541,ŞINCAI,119803,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:07",888,824,1,32,31,584,521,0,32,31,537,47,931,347,157,149,188,35,4,1,1,2
28,MUREŞ,"CĂMINUL CULTURAL ȘINCAI-FÂNAȚE",544,ŞINCAI,119803,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:14:41",177,151,0,21,5,137,111,0,21,5,124,13,180,43,54,53,3,10,3,0,1,0
28,MUREŞ,"CĂMINUL CULTURAL SÎNCRAIU DE MUREŞ",499,"SÂNCRAIU DE MUREŞ",114382,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:33:56",1417,1399,7,7,4,808,796,1,7,4,786,22,1540,732,134,266,207,50,80,6,32,11
28,MUREŞ,"CĂMINUL CULTURAL SÎNGEORGIU DE CÎMPIE",523,"SÂNPETRU DE CÂMPIE",119527,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:25",279,259,0,13,7,198,178,0,13,7,185,12,290,93,124,8,2,46,2,1,1,1
28,MUREŞ,"CĂMINUL CULTURAL SÎNGERU DE PĂDURE",361,ERNEI,116652,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:02:59",323,323,0,0,0,100,100,0,0,0,80,20,354,254,27,16,25,7,4,1,0,0
