county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","MANEA GHEORGHE-voturi","MANEA GHEORGHE-mandate-faza-1","MANEA GHEORGHE-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","LIGA PENTRU UNIFICAREA PATRIOȚILOR-voturi","LIGA PENTRU UNIFICAREA PATRIOȚILOR-mandate-faza-1","LIGA PENTRU UNIFICAREA PATRIOȚILOR-mandate-faza-2","CHIHA MARIN-voturi","CHIHA MARIN-mandate-faza-1","CHIHA MARIN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","CÎRSTEA VIOREL-voturi","CÎRSTEA VIOREL-mandate-faza-1","CÎRSTEA VIOREL-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","POPESCU EUGEN-voturi","POPESCU EUGEN-mandate-faza-1","POPESCU EUGEN-mandate-faza-2","DUMITRESCU GHEORGHE-voturi","DUMITRESCU GHEORGHE-mandate-faza-1","DUMITRESCU GHEORGHE-mandate-faza-2","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-1","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-2","PARTIDUL SATULUI ROMÂNESC-voturi","PARTIDUL SATULUI ROMÂNESC-mandate-faza-1","PARTIDUL SATULUI ROMÂNESC-mandate-faza-2","MINCU GHEORGHE-SORINEL-voturi","MINCU GHEORGHE-SORINEL-mandate-faza-1","MINCU GHEORGHE-SORINEL-mandate-faza-2","GOGORICI CONSTANTIN-voturi","GOGORICI CONSTANTIN-mandate-faza-1","GOGORICI CONSTANTIN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","NECULA MARIAN-voturi","NECULA MARIAN-mandate-faza-1","NECULA MARIAN-mandate-faza-2","GHIŢĂ DANIEL-GHEORGHE-voturi","GHIŢĂ DANIEL-GHEORGHE-mandate-faza-1","GHIŢĂ DANIEL-GHEORGHE-mandate-faza-2","IOSIF AUREL-voturi","IOSIF AUREL-mandate-faza-1","IOSIF AUREL-mandate-faza-2","ŢELINOIU IULIAN-voturi","ŢELINOIU IULIAN-mandate-faza-1","ŢELINOIU IULIAN-mandate-faza-2","GROŞANU VALENTIN-voturi","GROŞANU VALENTIN-mandate-faza-1","GROŞANU VALENTIN-mandate-faza-2","BĂRBULESCU DECEBAL-REGINALD-CONSTANTIN-voturi","BĂRBULESCU DECEBAL-REGINALD-CONSTANTIN-mandate-faza-1","BĂRBULESCU DECEBAL-REGINALD-CONSTANTIN-mandate-faza-2","PARTIDUL UNIUNEA GETO-DACILOR-voturi","PARTIDUL UNIUNEA GETO-DACILOR-mandate-faza-1","PARTIDUL UNIUNEA GETO-DACILOR-mandate-faza-2","TROCAN CONSTANTIN-IULIAN-voturi","TROCAN CONSTANTIN-IULIAN-mandate-faza-1","TROCAN CONSTANTIN-IULIAN-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate-faza-2","MOISESCU PAUL-voturi","MOISESCU PAUL-mandate-faza-1","MOISESCU PAUL-mandate-faza-2","STATE DUMITRU-voturi","STATE DUMITRU-mandate-faza-1","STATE DUMITRU-mandate-faza-2","OPRESCU ŞTEFAN-voturi","OPRESCU ŞTEFAN-mandate-faza-1","OPRESCU ŞTEFAN-mandate-faza-2","TICĂ ION-voturi","TICĂ ION-mandate-faza-1","TICĂ ION-mandate-faza-2","FICA ELENA-voturi","FICA ELENA-mandate-faza-1","FICA ELENA-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","COŞA ANCA-MIHAELA-voturi","COŞA ANCA-MIHAELA-mandate-faza-1","COŞA ANCA-MIHAELA-mandate-faza-2","PĂCIOIANU CONSTANTIN-voturi","PĂCIOIANU CONSTANTIN-mandate-faza-1","PĂCIOIANU CONSTANTIN-mandate-faza-2","TACHE IOANA-voturi","TACHE IOANA-mandate-faza-1","TACHE IOANA-mandate-faza-2","MAZILU NICOLAE-voturi","MAZILU NICOLAE-mandate-faza-1","MAZILU NICOLAE-mandate-faza-2","AVRAM BOGDAN-MIHAI-voturi","AVRAM BOGDAN-MIHAI-mandate-faza-1","AVRAM BOGDAN-MIHAI-mandate-faza-2","MITIRIŢĂ ALINA-MARIA-voturi","MITIRIŢĂ ALINA-MARIA-mandate-faza-1","MITIRIŢĂ ALINA-MARIA-mandate-faza-2","SIMION NECULAE-voturi","SIMION NECULAE-mandate-faza-1","SIMION NECULAE-mandate-faza-2","ANGHEL ION-EDUARD-voturi","ANGHEL ION-EDUARD-mandate-faza-1","ANGHEL ION-EDUARD-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","BADEA ADRIAN-voturi","BADEA ADRIAN-mandate-faza-1","BADEA ADRIAN-mandate-faza-2"
3,ARGEŞ,"ALBEŞTII DE ARGEŞ",13819,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:08:43",4839,4789,7,33,10,2984,2940,1,33,10,2871,113,5426,2442,143,200,229,186,1179,6,0,1401,7,1,212,1,0,22,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,"ALBEŞTII DE MUSCEL",13891,1,FINAL,UAT,CL,CL_CE,"2024-06-11 18:14:55",1216,1156,0,13,47,938,878,0,13,47,870,26,1330,434,43,60,69,95,131,1,0,575,6,0,59,0,1,0,0,0,0,0,0,98,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,ALBOTA,13935,2,FINAL,UAT,CL,CL_CE,"2024-06-11 19:28:40",3591,3567,5,19,0,2320,2300,1,19,0,2259,61,3909,1589,112,158,180,173,1332,7,1,654,3,1,0,0,0,0,0,0,0,0,0,140,0,1,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,ANINOASA,13999,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:43:29",2665,2583,1,39,42,1809,1728,0,39,42,1739,70,2874,1065,86,121,139,124,717,5,1,903,7,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,AREFU,14049,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:54:33",1854,1833,2,8,11,1185,1167,0,8,10,1137,48,2017,832,56,79,90,103,590,5,1,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,2,1,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,BĂBANA,14085,2,FINAL,UAT,CL,CL_CE,"2024-06-12 12:51:20",2439,2364,6,26,43,1574,1501,4,26,43,1483,75,2649,1086,74,103,118,130,454,3,1,574,4,0,191,1,0,0,0,0,0,0,0,218,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,BĂICULEŞTI,14165,2,FINAL,UAT,CL,CL_CE,"2024-06-12 12:58:19",4917,4890,4,21,2,2985,2961,1,21,2,2901,84,5395,2410,145,203,232,178,1281,7,0,1177,6,1,216,1,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,BĂLILEŞTI,14272,1,FINAL,UAT,CL,CL_CE,"2024-06-11 11:09:59",3227,3184,3,40,0,2054,2014,0,40,0,1998,56,3520,1466,99,139,159,142,1083,7,0,532,3,1,123,0,1,0,0,0,0,0,0,119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,BÂRLA,14450,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:43:40",3494,3371,1,89,33,2214,2092,0,89,33,2125,89,3732,1518,106,148,170,150,663,4,0,1162,7,1,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARGEŞ,BASCOV,13187,1,FINAL,UAT,CL,CL_CE,"2024-06-11 11:06:30",9256,9176,26,38,16,4926,4872,2,36,16,4786,138,10190,5266,239,335,382,251,2112,8,0,745,2,1,771,3,0,59,0,0,0,0,0,650,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,192,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
