precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VOINEA MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","ENCULESCU GEORGE-UNIUNEA SALVAȚI ROMÂNIA-voturi","RĂDUCANU OVIDIU-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"ȘCOALA GENERALĂ NR. 2 MÎRȘANI",402,MÂRŞANI,73317,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:22:51",1424,1356,0,12,56,906,838,0,12,56,830,76,1378,472,229,32,569
17,DOLJ,"ȘCOALA GENERALĂ NR. 3 MÎRȘANI",404,MÂRŞANI,73317,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:22:17",1091,1013,0,17,61,725,649,0,17,59,699,26,1200,475,215,17,467
17,DOLJ,"ȘCOALA GIMNAZIALĂ NR. 1 MÂRȘANI",403,MÂRŞANI,73317,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:12:37",1048,997,1,15,35,680,629,1,15,35,648,32,1200,520,127,12,509
