precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FĂGĂDAR NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","UNGURIANU CRISTINA-VALERIA-PARTIDUL SOCIAL DEMOCRAT-voturi"
13,CLUJ,"CAMIN CULTURAL AITON",301,AITON,55598,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:00",564,506,2,39,17,355,298,1,39,17,341,14,533,178,221,120
13,CLUJ,"CAMIN CULTURAL REDIU",302,AITON,55598,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:32:18",378,354,2,14,8,218,196,0,14,8,213,5,381,163,157,56
