precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRICELE DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","BURZ SORIN-ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi","IONELE OVIDIU-NICOLAIE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
1,ALBA,"FOSTUL SEDIU AL PRIMĂRIEI PONOREL",433,VIDRA,8425,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:41:48",681,664,0,6,11,518,501,0,6,11,509,9,742,224,421,81,7
1,ALBA,"PRIMĂRIA COMUNEI VIDRA",431,VIDRA,8425,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:07",308,295,0,10,3,218,205,0,10,3,217,1,327,109,181,30,6
1,ALBA,"ŞCOALA PRIMARĂ GOIEŞTI",432,VIDRA,8425,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:07:30",293,276,0,9,8,209,192,0,9,8,203,6,312,103,157,32,14
