precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
39,VASLUI,"CĂMINUL CULTURAL, GHERGHEŞTI",328,GHERGHEŞTI,163967,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:05:35",883,869,0,1,13,470,456,0,1,13,414,56,1000,530,210,103,44,12,45
39,VASLUI,"CONTAINER MODULAR",332,GHERGHEŞTI,163967,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:46:39",389,376,0,4,9,220,207,0,4,9,203,17,400,180,119,61,12,1,10
39,VASLUI,"ŞCOALA GIMNAZIALA SAT CHETROSU",329,GHERGHEŞTI,163967,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:31:59",374,369,2,0,3,225,220,2,0,3,205,20,400,175,116,56,30,3,0
39,VASLUI,"ŞCOALA PRIMARA SAT CORODESTI",330,GHERGHEŞTI,163967,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:31:35",161,159,0,2,0,80,78,0,2,0,74,6,176,96,47,16,10,0,1
39,VASLUI,"ŞCOALA PRIMARĂ SAT DRAXENI (CONTAINER MODULAR)",331,GHERGHEŞTI,163967,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:17:58",118,112,0,3,3,64,58,0,3,3,59,5,118,54,40,12,5,0,2
