precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL RECEA",303,VÂRŞOLŢ,143021,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:20",466,416,0,20,30,337,287,0,20,30,315,22,500,163,10,101,59,5,89,1,50
33,SĂLAJ,"PRIMĂRIA COMUNEI VÎRȘOLȚ",302,VÂRŞOLŢ,143021,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:44",1403,1358,2,9,34,909,865,1,9,34,872,37,1517,608,95,26,645,47,14,41,4
