precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARCĂU EDUARD-PARTIDUL SOCIAL DEMOCRAT-voturi","NEDELCU VIOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DRĂGOI DANIEL-ION-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIVU ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","VASILE SORIN-voturi"
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",321,OCNIŢA,68324,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:09",1282,1275,0,2,5,794,787,0,2,5,782,12,1409,615,338,61,328,46,9
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR 1 OCNIȚA",319,OCNIŢA,68324,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:44:13",1268,1257,1,9,1,787,776,1,9,1,775,12,1390,603,391,23,299,46,16
16,DÂMBOVIŢA,"GRADINIȚA CU PROGRAM NORMAL NR 2 FUNDU OCNEI",320,OCNIŢA,68324,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:11",974,966,2,4,2,570,564,0,4,2,561,9,1070,500,240,26,272,18,5
