precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOŢI IONICĂ-PETRIŞOR-PARTIDUL SOCIAL DEMOCRAT-voturi","GHIŢAN DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BUZATU PETRE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL BISTRIȚA",193,HINOVA,112076,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:21",1379,1148,0,219,12,1004,773,0,219,12,983,21,1250,246,519,454,10
27,MEHEDINŢI,"CĂMINUL CULTURAL OSTROVU CORBULUI",194,HINOVA,112076,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:31",377,315,1,57,4,264,203,0,57,4,259,5,353,89,117,136,6
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII HINOVA",192,HINOVA,112076,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:19:14",1055,944,1,106,4,601,492,0,105,4,583,16,1030,431,196,375,12
