precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MALINESCU MARIA-UNIUNEA SALVAȚI ROMÂNIA-voturi","ŢEHANIUC CORNEL-TRIFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MAXIMIUC ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
35,SUCEAVA,"LICEUL TEHNOLOGIC TOMŞA VODĂ SOLCA",191,"ORAŞ SOLCA",146708,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:10",1058,1044,0,9,5,551,537,0,9,5,531,20,1200,649,72,392,67
35,SUCEAVA,"PRIMĂRIA ORAŞULUI SOLCA",190,"ORAŞ SOLCA",146708,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:41",988,983,2,2,1,451,448,0,2,1,434,17,1056,605,44,310,80
