precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALDEA IOAN-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","BARBU ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","COSTEA IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SCHNEIDER GABRIEL-PARTIDUL ECOLOGIST ROMÂN-voturi"
34,SIBIU,"CLADIREA PRIMARIEI (FOSTA SCOALA), DUPUS NR. 107.",231,AŢEL,143995,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:55",202,189,4,7,2,80,71,0,7,2,78,2,209,129,30,41,3,4
34,SIBIU,"PRIMARIA ATEL",230,AŢEL,143995,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:54",1183,1149,1,3,30,622,589,0,3,30,605,16,1279,658,352,219,20,14
