precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BALINCA NUŢI-PARTIDUL SOCIAL DEMOCRAT-voturi","BUCŞĂ FLORIN-CEZARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DIMOFTE COSTEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:17:55",544,507,0,7,30,269,232,0,7,30,259,10,554,285,161,64,34
41,VRANCEA,"CAMIN CULTURAL NANESTI",222,NĂNEŞTI,176855,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:12:56",1034,978,0,6,50,571,515,0,6,50,556,15,1077,506,198,318,40
41,VRANCEA,"SCOALA CALIENII-NOI",223,NĂNEŞTI,176855,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:54:32",279,262,0,6,11,151,134,0,6,11,145,6,285,134,49,65,31
