precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
11,CARAŞ-SEVERIN,"CENTRUL CULTURAL SÂRBESC ”SFÂNTUL SAVA” BAZIAȘ",326,SOCOL,54109,1,PROV,PRCNCT,CL,CL_SV,"2024-06-09 23:58:11",61,42,1,18,0,47,29,0,18,0,47,0,57,10,34,3,1,2,3,4,0
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ”SF. SAVA” SOCOL",325,SOCOL,54109,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:03",627,584,5,11,27,361,323,0,11,27,345,0,641,296,159,61,17,51,9,47,1
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ CÂMPIA",327,SOCOL,54109,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:55",484,458,0,14,12,266,240,0,14,12,245,21,493,227,35,36,45,69,31,28,1
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ ZLATIȚA",328,SOCOL,54109,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:35",396,369,0,10,17,396,369,0,10,17,374,22,670,274,162,13,8,4,12,91,84
