precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOAN MIHU” VINEREA",154,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:14:25",913,905,3,5,0,505,500,0,5,0,487,18,1000,495,133,11,262,38,12,26,5
1,ALBA,"ȘCOALA GIMNAZIALĂ IOAN MIHU - VINEREA",153,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:50",1055,1054,0,0,1,544,543,0,0,1,522,22,1200,656,129,3,293,41,14,36,6
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",18,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:59:39",810,801,1,7,1,366,358,0,7,1,352,14,902,536,85,14,145,54,11,34,9
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",17,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:51:29",840,827,3,10,0,359,349,0,10,0,347,12,900,541,89,13,131,53,14,39,8
1,ALBA,"ŞCOALA GIMNAZIALĂ ”ION BREAZU” MIHALŢ",316,MIHALŢ,5700,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:48:40",845,802,1,16,26,525,483,0,16,26,508,17,898,373,96,337,51,3,21,0,0
1,ALBA,"ŞCOALA GIMNAZIALĂ ”ION BREAZU” MIHALŢ",315,MIHALŢ,5700,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:24:22",1038,973,0,21,44,703,638,0,21,44,613,25,1102,464,110,12,368,47,25,50,1
1,ALBA,"ŞCOALA GIMNAZIALĂ ”ION MICU MOLDOVAN” BLAJ",88,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:42:02",1582,1569,0,12,1,630,617,0,12,1,536,94,1700,1070,101,21,319,41,27,20,7
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOSIF PERVAIN” CUGIR",148,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:09",1093,1085,2,5,1,537,531,0,5,1,522,15,1200,663,178,13,203,54,9,59,6
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOSIF PERVAIN” CUGIR",147,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:27",999,984,3,11,1,448,436,0,11,1,435,13,1101,653,171,3,172,39,7,42,1
1,ALBA,"ȘCOALA GIMNAZIALĂ IOSIF PERVAIN CUGIR",149,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:38:28",1113,1110,0,3,0,465,462,0,3,0,440,25,1200,735,152,12,159,38,3,73,3
