precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANĂ DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ANDREI GHEORGHIŢĂ-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"ŞCOALA CU CLASELE I-VIII GIUVĂRĂŞTI",211,GIUVĂRĂŞTI,127126,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:30",921,895,0,4,22,495,469,0,4,22,473,22,987,426,442,31
30,OLT,"ŞCOALA CU CLASELE I-VIII GIUVĂRĂŞTI",212,GIUVĂRĂŞTI,127126,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:39",840,814,0,0,26,526,500,0,0,26,510,16,923,397,474,36
