precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBU GEORGIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GIOABĂ STELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TITIREZ GABRIELA-CRISTINA-PARTIDUL NAȚIONAL LIBERAL-voturi","ALIVEJ CONSTANŢA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"PRIMARIA STILPU",372,STÂLPU,49625,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:37",1179,1169,1,6,3,712,703,0,6,3,682,30,1285,573,55,483,100,44
10,BUZĂU,"SCOALA GIMNAZIALA STILPU",371,STÂLPU,49625,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:25",1395,1374,1,6,14,881,862,0,6,13,864,17,1505,624,68,646,110,40
