precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANDREESCU ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ION RADU-AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","IONIŢĂ FRANCOAIS-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BIŢU ŞTEFANIA-ANDREEA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3",132,"DRAGOŞ VODĂ",93539,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:42",179,154,0,10,15,126,101,0,10,15,124,2,188,62,6,94,19,5
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR.1 DRAGOȘ VODĂ - SALA DE SPORT",131,"DRAGOŞ VODĂ",93539,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:01:36",1075,1023,0,21,31,710,658,0,21,31,666,13,1116,437,29,405,194,38
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR.1 DRAGOȘ VODĂ - SALA DE SPORT",130,"DRAGOŞ VODĂ",93539,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:56:34",1055,995,0,30,30,718,658,0,30,30,692,26,1098,380,34,452,195,11
