precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MELEACĂ VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","STELIAN TRAIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ANDRONACHE RODICA-VIORICA-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂETU ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂCHIŢĂ ALEXANDRU-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
23,IALOMIŢA,"LICEUL TEHNOLOGI CĂZĂNEȘTI",76,"ORAŞ CĂZĂNEŞTI",93067,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:05:23",1357,1323,0,14,20,755,721,0,14,20,710,45,1425,670,45,147,342,46,130
23,IALOMIŢA,"LICEUL TEHNOLOGIC, CORP B",75,"ORAŞ CĂZĂNEŞTI",93067,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:34:18",1395,1354,1,10,30,730,690,0,10,30,714,16,1600,870,94,170,328,32,90
