precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
10,BUZĂU,"CĂMIN CULTURAL BĂDÂRLEGI",105,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:36:29",99,87,0,7,5,76,64,0,7,5,74,2,100,24,63,6,2,3,0
10,BUZĂU,"CĂMIN CULTURAL BÎSCA ROZILEI",109,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:11",536,521,0,7,8,334,319,0,7,8,324,10,590,256,232,22,24,31,15
10,BUZĂU,"CĂMIN CULTURAL CURMĂTURA",112,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:13:46",123,103,1,7,12,92,73,0,7,12,87,5,130,38,72,4,5,6,0
10,BUZĂU,"CĂMIN CULTURAL MLĂJET",115,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:11",686,667,0,9,10,442,424,0,9,9,432,10,750,308,297,54,36,30,15
10,BUZĂU,"CĂMIN CULTURAL PĂLTINENI",116,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:10",630,610,0,6,14,407,387,0,6,14,390,17,695,288,279,30,33,43,5
10,BUZĂU,"CĂMIN CULTURAL VALEA NEHOIULUI",107,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:16",772,752,1,5,14,480,461,0,5,14,466,14,850,370,376,28,24,34,4
10,BUZĂU,"CĂMIN CULTURAL VINETIS",117,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:33:59",117,112,0,4,1,82,77,0,4,1,80,2,130,48,67,3,4,3,3
10,BUZĂU,"CASA DE CULTURĂ GEORGE BĂICULESCU NEHOIU",102,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:10",1088,1071,4,6,7,592,580,0,5,7,567,25,1200,608,352,35,76,91,13
10,BUZĂU,"CENTRU CULTURAL CHIRLEȘTI",111,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:34",649,645,0,4,0,394,390,0,4,0,386,8,720,326,267,31,16,64,8
10,BUZĂU,"CENTRU CULTURAL LUNCA PRIPORULUI",113,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:38:35",569,553,0,4,12,366,350,0,4,12,354,12,630,264,180,33,60,70,11
10,BUZĂU,"CLĂDIREA FOSTA SECŢIE CONFECŢIONAT ÎNCĂLŢĂMINTE DÂMBOVIŢA (LÂNGĂ BISERICA ORTODOXĂ) STR. VALEA NEHOIULUI",106,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:23:00",514,490,1,5,18,312,289,0,5,18,303,8,560,248,222,20,31,21,9
10,BUZĂU,"GRĂDINITA POD VINETIS - VECHE",110,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:38",514,504,0,1,9,340,330,0,1,9,326,14,570,230,222,30,18,19,37
10,BUZĂU,"GRUP SCOLAR TEHNIC NEHOIU STR. SCOLII",103,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:15:57",937,921,2,6,8,503,489,0,6,8,488,15,1000,497,277,43,82,75,11
10,BUZĂU,"SALA DE SPORT A ORASULUI",104,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:07",664,654,0,4,6,424,414,0,4,6,409,15,720,296,289,27,44,41,8
10,BUZĂU,"SCOALA CU CLASELE I-IV PRUND",114,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:31",389,372,1,4,12,264,248,0,4,12,259,5,410,146,152,15,59,31,2
10,BUZĂU,"ŞCOALA PRIMARĂ NEHOIAŞU",108,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:15:44",333,320,0,6,7,209,196,0,6,7,205,4,350,141,164,8,17,12,4
