precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VLAD IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","NICULA ADINA-PETRONELA-PARTIDUL NAȚIONAL LIBERAL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL COROIEŞTI",457,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:21:51",157,150,0,4,3,123,116,0,4,3,122,1,170,47,97,25
22,HUNEDOARA,"CĂMINUL CULTURAL MĂLĂIEŞTI",458,"SĂLAŞU DE SUS",91116,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:02:02",122,114,0,4,4,102,94,0,4,4,99,3,125,23,57,42
22,HUNEDOARA,"CĂMINUL CULTURAL NUCȘOARA",459,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:33",242,226,5,6,5,174,162,1,6,5,174,0,250,76,122,52
22,HUNEDOARA,"CĂMINUL CULTURAL RÂU MIC",463,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:10:00",141,136,0,4,1,101,96,0,4,1,100,1,150,49,67,33
22,HUNEDOARA,"CĂMINUL CULTURAL SĂLAȘU DE SUS",456,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:02",431,404,1,17,9,293,267,0,17,9,282,11,454,161,223,59
22,HUNEDOARA,"CĂMINUL CULTURAL ZĂVOI",465,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:07:10",111,105,0,5,1,85,79,0,5,1,83,2,115,30,61,22
22,HUNEDOARA,"ŞCOALA GENERALĂ OHABA DE SUB PIATRĂ",460,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:19:36",164,159,0,4,1,101,96,0,4,1,101,0,187,86,78,23
22,HUNEDOARA,"ŞCOALA GENERALĂ PAROŞ",461,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:42:00",264,246,0,8,10,205,187,0,8,10,204,1,266,61,163,41
22,HUNEDOARA,"ŞCOALA GENERALĂ RÂU ALB",462,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:45:57",164,157,0,6,1,105,98,0,6,1,102,3,174,69,80,22
22,HUNEDOARA,"ŞCOALA GENERALĂ SĂLAŞU DE JOS",464,"SĂLAŞU DE SUS",91116,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:26:27",183,180,0,2,1,127,124,0,2,1,126,1,215,88,71,55
