precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PRO ROMÂNIA-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ ALIMPEŞTI",126,ALIMPEŞTI,78542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:38:28",876,834,1,17,24,552,510,1,17,24,530,22,900,348,145,169,96,50,5,65
20,GORJ,"ŞCOALA PRIMARĂ SÎRBEŞTI",127,ALIMPEŞTI,78542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:06:28",624,598,0,17,9,433,407,0,17,9,423,10,666,233,125,99,95,26,23,55
