precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROTH KRISTIAN- OTTO-PARTIDUL NAȚIONAL LIBERAL-voturi","ONEA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
34,SIBIU,"CĂMIN CULTURAL FLOREŞTI",286,LASLEA,144731,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:31:25",131,117,0,12,2,83,69,0,12,2,81,2,120,37,21,60
34,SIBIU,"CĂMIN CULTURAL LASLEA",285,LASLEA,144731,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:06:50",1388,1340,3,32,13,760,718,0,32,10,735,25,1500,740,211,524
34,SIBIU,"CĂMIN CULTURAL MĂLÎNCRAV",287,LASLEA,144731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:53",1062,1038,3,10,11,581,558,2,10,11,559,22,1150,569,335,224
34,SIBIU,"ȘCOALA PRIMARĂ NOU SĂSESC",288,LASLEA,144731,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:18",610,598,6,6,0,173,167,0,6,0,169,4,643,470,105,64
34,SIBIU,"ȘCOALA PRIMARĂ ROANDOLA",289,LASLEA,144731,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:33:54",286,266,9,11,0,81,70,0,11,0,79,2,290,209,47,32
