precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUKÁCS KRISZTIÁN-ROBERT-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DRUGAN IOANA-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂNĂILESCU BENONE-PARTIDUL SOCIAL DEMOCRAT-voturi","COJOCARU MIHAIL-CRISTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DUCHIN ILIE-PARTIDUL ECOLOGIST ROMÂN-voturi","VANHOUTTE JEAN PIERRE CLEMENT R-voturi","MATEI PAUL-VLAD-voturi"
8,BRAŞOV,"CAMIN CULTURAL",351,HĂLCHIU,41033,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:28",1055,1043,2,8,2,570,559,1,8,2,544,26,1100,530,184,201,75,11,23,45,5
8,BRAŞOV,"CĂMINUL CULTURAL",349,HĂLCHIU,41033,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:33",1614,1595,1,11,7,922,903,1,11,7,919,3,1759,831,14,276,174,60,120,261,14
8,BRAŞOV,"LOCAȚIA KREDENT",350,HĂLCHIU,41033,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:08",1620,1602,2,15,1,945,929,0,15,1,913,32,1800,855,9,268,156,72,99,295,14
