precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IORDACHE FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","OBAGIU ANA-MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"CĂMIN CULTURAL MOŢĂIENI",309,MOŢĂIENI,65645,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:47:31",1315,1278,2,6,29,790,755,0,6,29,779,11,1353,563,472,307
16,DÂMBOVIŢA,"ŞCOALA CUCUTENI",310,MOŢĂIENI,65645,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:45",333,317,1,0,15,224,208,1,0,15,219,4,360,137,160,59
