precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","SZABO LAJOS-voturi","NAGY ŞTEFAN-voturi"
13,CLUJ,"CAMIN CULTURAL SIC",634,SIC,59416,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:16",735,664,2,6,63,529,460,0,6,63,490,39,800,271,61,295,104,15,15
13,CLUJ,"CAMIN CULTURAL SIC",635,SIC,59416,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:06",1155,1024,2,1,128,798,671,1,1,125,763,35,1257,459,33,435,126,59,110
