precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA VASILE-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","AVAŞI LUCIAN -VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AVAŞI MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","DRAGOŞ ANA-ADRIANA-voturi"
32,"SATU MARE","CĂMIN CULTURAL COMLĂUȘA",133,BĂTARCI,136919,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:38:06",872,863,2,2,5,365,358,0,2,5,353,12,938,573,185,136,13,19
32,"SATU MARE","CĂMIN CULTURAL TĂMĂŞENI",134,BĂTARCI,136919,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:01:20",332,311,1,9,11,225,204,1,9,11,213,12,400,175,137,10,61,5
32,"SATU MARE","SCOALA GIMNAZIALA BĂTARCI",132,BĂTARCI,136919,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:47:32",1879,1848,0,16,15,825,794,0,16,15,782,43,2000,1132,341,59,338,44
