precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SANDU SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","FIRAN GELU-PARTIDUL NAȚIONAL LIBERAL-voturi","VANCEA ILEANA-CRISTINA-voturi"
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 1 CĂLĂRAŞI",290,CĂLĂRAŞI,71607,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:44:05",1709,1613,2,35,59,999,904,1,35,59,957,26,1800,817,892,27,38
17,DOLJ,"ȘCOALA GIMNAZIALĂ NR. 1 CĂLĂRAȘI",289,CĂLĂRAŞI,71607,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:46:14",1462,1411,3,16,32,825,775,2,16,32,784,41,1542,717,718,21,45
17,DOLJ,"ŞCOALA GIMNAZIALĂ SĂRATA",291,CĂLĂRAŞI,71607,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:43:10",1556,1502,0,17,37,908,855,0,17,36,870,38,1700,792,774,60,36
