precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PODARIU ONICA-DANIELA-voturi","PODARU ANGELA-voturi"
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII BREHUIESTI(CORPUL B)",416,VLĂDENI,39738,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:49:55",1469,1468,0,1,0,596,595,0,1,0,566,30,1600,1004,80,127,221,28,21,73,16
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII MANDRESTI",417,VLĂDENI,39738,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:06:49",1078,1075,0,1,2,485,482,0,1,2,462,23,1205,720,117,73,194,42,18,12,6
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII VLADENI(CORP NOU)",415,VLĂDENI,39738,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:26",1486,1475,0,3,8,742,731,0,3,8,698,44,1613,871,52,256,231,44,7,73,35
