precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","BRESCANU PETRICĂ-voturi"
9,BRĂILA,"SALĂ FESTIVITĂȚI CORBENI ( FOST CAMIN CULTURAL SAT CORBENI)",218,RACOVIŢA,43698,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:28",106,96,0,8,2,77,67,0,8,2,73,4,153,76,32,26,5,7,3
9,BRĂILA,"ȘCOALA GIMNAZIALĂ RACOVIȚA",217,RACOVIŢA,43698,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:25:52",721,692,0,18,11,509,480,0,18,11,441,39,696,216,139,87,66,75,74
