precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂESCU VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ROATĂ MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","ROGOBETE ILIE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHERGHINA GHEORGHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BIROVESCU NICOLAE-ROMEO-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL GORNENŢI",234,PODENI,112959,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:53",138,118,0,15,5,104,84,0,15,5,103,1,129,25,0,80,3,6,14
27,MEHEDINŢI,"CĂMINUL CULTURAL PODENI",233,PODENI,112959,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:42",530,503,1,11,15,374,348,1,11,14,357,17,547,173,19,263,46,17,12
