precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GUTĂU MIRCIA-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR ION-MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","MOCANU ION-VICENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PÎRVULESCU VIRGIL-PARTIDUL NAȚIONAL LIBERAL-voturi","DÎRLESCU CRISTINEL-PARTIDUL S.O.S. ROMÂNIA-voturi","DICU ION-ROMÂNIA SOCIALISTĂ-voturi","PUICAN FLORIN-IULIAN-PARTIDUL ACUM-voturi","STOICA CONSTANTIN-MIRCEA-voturi","BUŞE DANIEL-voturi"
40,VÂLCEA,"CARTIER PETRIŞOR - PT8",49,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:35",1415,1411,0,4,0,563,559,0,4,0,543,20,1600,1017,226,32,112,138,12,4,2,3,14
40,VÂLCEA,"COLEGIUL ECONOMIC",54,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:55",1050,1046,1,3,0,509,506,0,3,0,491,18,1160,651,234,27,77,119,8,7,5,10,4
40,VÂLCEA,"COLEGIUL ECONOMIC",55,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:35",1055,1038,1,11,5,437,421,0,11,5,421,16,1140,703,222,19,68,88,7,4,1,10,2
40,VÂLCEA,"COLEGIUL ECONOMIC",53,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:41",1049,1034,3,12,0,442,434,0,8,0,430,12,1140,698,184,29,72,110,9,1,8,10,7
40,VÂLCEA,"COLEGIUL ENERGETIC",1,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:58",1805,1796,4,5,0,762,757,0,5,0,742,20,1970,1208,316,42,123,202,17,10,11,5,16
40,VÂLCEA,"COLEGIUL ENERGETIC",2,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:13:05",864,855,3,6,0,401,394,1,6,0,389,9,1040,642,171,28,69,98,12,0,0,7,4
40,VÂLCEA,"COLEGIUL NAȚIONAL ALEXANDRU LAHOVARI",29,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:36:21",1001,991,0,10,0,479,469,0,10,0,456,13,1090,600,188,24,68,146,3,6,6,12,3
40,VÂLCEA,"COLEGIUL NAȚIONAL ALEXANDRU LAHOVARI",30,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:11",1331,1319,3,9,0,639,630,0,9,0,623,16,1490,851,267,51,121,145,10,9,2,14,4
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",15,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:54:23",769,752,2,15,0,363,348,0,15,0,349,14,830,467,152,19,54,93,9,5,2,6,9
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",17,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:45",1209,1200,0,9,0,541,532,0,9,0,524,17,1330,789,215,25,108,140,12,3,7,8,6
