precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOIAN LETIŢIA-PARTIDUL NAȚIONAL LIBERAL-voturi","ALDEA VALENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
2,ARAD,"ȘCOALA GIMNAZIALĂ „DR. IOAN DANICICO”",356,SEMLAC,12037,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:24",1752,1726,5,5,16,835,813,1,5,16,805,30,1937,1102,669,136
2,ARAD,"ȘCOALA GIMNAZIALĂ SEMLAC",357,SEMLAC,12037,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:35",1645,1620,10,6,9,740,725,0,6,9,700,40,1790,1050,596,104
