precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"LOCALUL ŞCOLII CU CLASELE I-IV NECŞEŞTI",216,NECŞEŞTI,153437,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:16:36",415,381,0,19,15,268,234,0,19,15,261,7,430,162,261
36,TELEORMAN,"LOCALUL ŞCOLII CU CLASELE I-VIII GÂRDEŞTI",217,NECŞEŞTI,153437,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:47:13",351,327,0,7,17,215,191,0,7,17,204,11,377,162,204
